Voti Fantacalcio 38ª giornata di campionato,,,,,,,,,,,,
Solo su www.fantacalcio.it i voti ufficiali per la tua lega,,,,,,,,,,,,
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET,,,,,,,,,,,,
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT,,,,,,,,,,,,
Atalanta,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
1843,P,Radu I.,5,0,3,0,0,0,0,0,0,0
5695,D,Haps,7.5,1,0,0,0,0,0,0,0,1
6660,D,Marcandalli,6,0,0,0,0,0,0,0,0,0
6673,D,Sverko,5.5,0,0,0,0,0,0,0,0,0
6892,D,Schingtienne,5,0,0,0,0,0,0,0,0,0
6985,D,Candè,5.5,0,0,0,0,0,0,0,0,0
4349,C,Nicolussi Caviglia,5,0,0,0,0,0,0,0,0,0
5998,C,Zerbin,5.5,0,0,0,0,0,0,1,0,0
6020,C,Ellertsson,6.5,0,0,0,0,0,0,0,0,0
6218,C,Oristanio,6,0,0,0,0,0,0,0,0,0
6683,C,Doumbia I.,6,0,0,0,0,0,0,0,0,0
6904,C,Yeboah J.,5.5,0,0,0,0,0,0,0,0,0
6994,C,Perez K.,6,0,0,0,0,0,0,0,0,0
5881,A,Gytkjaer,5.5,0,0,0,0,0,0,0,0,0
6250,A,Maric,6*,0,0,0,0,0,0,0,0,0
7022,A,Fila,7,1,0,0,0,0,0,0,0,0
691,ALL,Di Francesco,5.5,0,0,0,0,0,0,0,0,0
Verona,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
511,P,Perilli,6,0,1,0,0,0,0,0,0,0
4493,D,Dawidowicz,6,0,0,0,0,0,0,0,0,0
5532,D,Bradaric,7,1,0,0,0,0,0,0,0,0
5764,D,Coppola D.,6.5,0,0,0,0,0,0,0,0,0
6480,D,Tchatchoua,6.5,0,0,0,0,0,0,0,0,1
6631,D,Ghilardi,6,0,0,0,0,0,0,0,0,0
6639,D,Frese,6*,0,0,0,0,0,0,0,0,0
6957,D,Valentini N.,5.5,0,0,0,0,0,0,1,0,0
4342,C,Duda,6.5,0,0,0,0,0,0,0,1,1
6458,C,Serdar,7,1,0,0,0,0,0,0,0,0
6486,C,Suslov,5.5,0,0,0,0,0,0,0,0,0
7028,C,Bernede,6*,0,0,0,0,0,0,0,0,0
6159,A,Sarr A.,5.5,0,0,0,0,0,0,0,0,0
6630,A,Mosquera,6,0,0,0,0,0,0,1,0,0
6644,A,Rocha Livramento,6.5,0,0,0,0,0,0,0,0,0
